Person,Device,Cable,Charger
Hai,iPhone,USB-A to lightning,USB-A
Hai,iPad,USB-C,USB-C
Tracy,iPhone,USB-A to lightning,USB-A
Tracy,Laptop,MagSafe,MagSafe charger
Tracy,Mirror,USB-A to micro USB,USB-A
Lynn,iPhone,USB-A to lightning,USB-A
Erica,iPhone,USB-A to lightning,USB-A
